"c_date";"c_no";"c_sum";"c_type";"c_comment";"c_receipt_id";"c_submit_date";"c_type";"c_pay_date";"c_no";"c_status";"r_comment"
"2018-03-12";"869";180;4;"上海出差 油费";29;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;""
"2018-05-11";"869";200;2;"上海出差油费 拿机器？好像是4月底";29;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;""
"2018-05-15";"NT020";317.79;3;"两台电扇";30;"2018-05-28";0;"2018-06-28 00:00:00";"NT020";1;""
"2018-05-02";"NT020";1750;2;"聚餐";31;"2018-05-28";0;"2018-06-28 00:00:00";"NT020";1;""
"2018-04-26";"NT020";23.7;3;"VGA线";32;"2018-05-28";0;"2018-06-28 00:00:00";"NT020";1;""
"2018-04-23";"NT020";62.9;3;"cpu风扇";33;"2018-05-28";0;"2018-06-28 00:00:00";"NT020";1;""
"2018-03-25";"869";45;6;"花盆 10+10+10+15";34;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"实际报销800元 多104元"
"2018-03-30";"869";60;1;"加班 2018-03-30 10h";34;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"实际报销800元 多104元"
"2018-04-14";"869";30;1;"加班 2018-04-14 7h";34;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"实际报销800元 多104元"
"2018-04-15";"869";30;1;"加班 2018-04-15 7.5h";34;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"实际报销800元 多104元"
"2018-01-25";"NT014";30;1;"加班 2018-01-25 3h";34;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"实际报销800元 多104元"
"2018-01-05";"NT014";30;1;"加班 2018-01-05 3h";34;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"实际报销800元 多104元"
"2018-10-17";"JS541";30;1;"加班 2018-10-17 2.5h";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-10-18";"JS541";30;1;"加班 2018-10-18 2.5h";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-09-20";"JS541";30;1;"加班 2018-09-20 2.5h";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-09-18";"JS541";30;1;"加班 2018-09-18 2.5h";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-09-19";"JS541";30;1;"加班 2018-09-19 2.5h";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-10-29";"NT020";470;2;"小组活动";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-09-27";"1149";60;1;"加班 2018-09-27 4.5h";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-10-10";"NT029";30;6;"04-2测试加班";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-10-17";"NT029";30;6;"04-3bug对应加班";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-09-18";"NT029";30;6;"加班";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-09-19";"869";30;6;"陈杰晚餐加班";50;"2018-10-30";0;"2019-01-21 00:00:00";"1149";1;""
"2018-09-05";"NT029";30;6;"加班";51;"2018-10-31";0;"2019-01-21 00:00:00";"869";1;"按报销人各自领款，实际发票750，报销742.1"
"2018-09-06";"NT029";30;6;"加班";51;"2018-10-31";0;"2019-01-21 00:00:00";"869";1;"按报销人各自领款，实际发票750，报销742.1"
"2018-09-25";"NT029";30;6;"加班";51;"2018-10-31";0;"2019-01-21 00:00:00";"869";1;"按报销人各自领款，实际发票750，报销742.1"
"2018-10-31";"1149";100;4;"出差去上海";52;"2018-10-31";0;"2019-01-21 00:00:00";"1149";1;""
"2018-10-17";"NT015";30;1;"加班 2018-10-17 2.5h";53;"2018-11-08";0;"2019-01-21 00:00:00";"869";1;"123+181+164 多报销13元 钱分配到每个人"
"2018-10-18";"NT015";30;1;"加班 2018-10-18 2.5h";53;"2018-11-08";0;"2019-01-21 00:00:00";"869";1;"123+181+164 多报销13元 钱分配到每个人"
"2018-10-20";"NT015";30;1;"加班 2018-10-20 6h";53;"2018-11-08";0;"2019-01-21 00:00:00";"869";1;"123+181+164 多报销13元 钱分配到每个人"
"2018-08-11";"JS963";30;1;"加班 2018-08-11 8h";53;"2018-11-08";0;"2019-01-21 00:00:00";"869";1;"123+181+164 多报销13元 钱分配到每个人"
"2018-08-12";"JS963";30;1;"加班 2018-08-12 6h";53;"2018-11-08";0;"2019-01-21 00:00:00";"869";1;"123+181+164 多报销13元 钱分配到每个人"
"2018-10-31";"869";35;6;"公司水池下水管管道";53;"2018-11-08";0;"2019-01-21 00:00:00";"869";1;"123+181+164 多报销13元 钱分配到每个人"
"2018-09-29";"NT021";30;1;"加班 2018-09-29 7h";53;"2018-11-08";0;"2019-01-21 00:00:00";"869";1;"123+181+164 多报销13元 钱分配到每个人"
"2018-10-13";"NT021";30;1;"加班 2018-10-13 6h";53;"2018-11-08";0;"2019-01-21 00:00:00";"869";1;"123+181+164 多报销13元 钱分配到每个人"
